job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,label,seed,deadline_min
28,112.36863762829728,112.36863762829728,112.37992285677589,0.0,0.677113708716633,1812.0338556854358,1823793.1535310033,False,1006.4895574708339,0,B_carbon_smart,0,202.36863762829728
29,113.35403246288475,113.35403246288475,113.36588262548764,0.0,0.7110097561735025,1812.0355504878087,1845311.5385461976,False,1018.3638715307935,0,B_carbon_smart,0,203.35403246288473
30,113.99565725823739,113.99565725823739,114.03648257641777,0.0,2.4495190908230633,7016.122475954541,7216660.315103582,False,1018.3638715307935,0,B_carbon_smart,0,203.99565725823737
31,117.71807896322,122.71807896322,122.73790465024094,5.0,1.1895412212564143,3708.059477061063,3781656.204221741,False,1019.8477741837651,0,B_carbon_smart,0,207.71807896322
32,119.35193327671062,122.73790465024094,122.751105296066,3.3859713735303103,0.7920387495042761,3008.0396019374753,3067742.492692553,False,1019.8477741837651,0,B_carbon_smart,0,209.3519332767106
33,121.94304274081645,122.751105296066,122.79322266738657,0.8080625552495491,2.5270422792342906,7016.126352113962,7155380.843595483,False,1019.8477741837651,0,B_carbon_smart,0,211.94304274081645
34,125.11676246921489,125.11676246921489,125.13027468515031,0.0,0.810732956125317,3008.040536647806,2972244.2618615404,False,988.0998030611125,0,B_carbon_smart,0,215.1167624692149
35,128.83761782146723,138.83761782146723,138.84791396539143,10.0,0.617768635451996,1016.0308884317726,947392.3529752374,False,932.4444401857924,0,B_carbon_smart,0,218.83761782146723
36,137.657912084203,138.84791396539143,138.86070244155025,1.1900018811884365,0.7673085695290831,3008.0383654284765,2804828.6497093416,False,932.4444401857924,0,B_carbon_smart,0,227.657912084203
37,138.118181363727,138.86070244155025,138.88059443018884,0.7425210778232554,1.1935193183153614,3708.0596759659156,3457559.628731549,False,932.4444401857924,0,B_carbon_smart,0,228.118181363727
38,142.5066891762401,152.5066891762401,152.52400915579847,10.0,1.0391987735030666,4806.051959938675,4808553.222346044,False,1000.5204401509218,0,B_carbon_smart,0,232.5066891762401
39,145.86312220462708,152.52400915579847,152.5419203484195,6.660886951171392,1.0746715572610381,4806.053733577863,4808554.996908304,False,1000.5204401509218,0,B_carbon_smart,0,235.86312220462708
40,151.51779443219306,152.5419203484195,152.55753779380942,1.0241259162264384,0.937046723394794,4806.04685233617,4808548.112085337,False,1000.5204401509218,0,B_carbon_smart,0,241.51779443219306
41,153.29606229668644,158.29606229668644,158.3106572331654,5.0,0.8756961887369532,3008.043784809437,2977452.773494192,False,989.8302639510338,0,B_carbon_smart,0,243.29606229668644
42,154.68596640303738,158.3106572331654,158.32511212935188,3.624690830128003,0.8672937711891153,3008.0433646885594,2977452.3576458325,False,989.8302639510338,0,B_carbon_smart,0,244.68596640303738
43,157.10708784654912,158.32511212935188,158.33909655551912,1.2180242828027588,0.8390655700350215,3008.0419532785018,2977450.9605894424,False,989.8302639510338,0,B_carbon_smart,0,247.10708784654912
