job_id,arrival_min,start_min,finish_min,wait_min,runtime_s,energy_proxy,emissions_index,sla_miss,carbon_at_start,deferrals,class,deadline_min
27,107.09320179614903,107.09320179614903,107.10910035833548,0.0,0.953913731187079,4806.04769568656,2629364.6617312757,False,547.094999513038,0,normal,110.09320179614903
28,112.36863762829728,112.36863762829728,112.37992285677589,0.0,0.677113708716633,1812.0338556854358,945284.5178637116,False,521.6704505259588,0,normal,115.36863762829728
29,113.35403246288475,113.35403246288475,113.36421595882098,0.0,0.6110097561735024,1016.0305504878087,541807.5731292459,False,533.2591356324054,0,normal,116.35403246288475
30,113.99565725823739,113.99565725823739,114.0148159097511,0.0,1.1495190908230632,3708.057475954541,2014721.7363496723,False,533.2591356324054,0,priority,115.99565725823739
31,117.71807896322,117.71807896322,117.7595713169076,0.0,2.4895412212564145,7016.124477061063,3901523.3069669735,False,556.0795450141809,0,normal,120.71807896322
32,119.35193327671062,120.33873263088556,120.35193327671062,0.9867993541749343,0.7920387495042761,3008.0396019374753,1728224.2436791747,False,574.5350701387133,1,normal,122.35193327671062
33,121.94304274081645,121.94304274081645,121.95682677880369,0.0,0.8270422792342904,3008.0413521139617,1692297.0434728896,False,562.5910170030055,0,normal,124.94304274081645
34,125.11676246921489,125.11676246921489,125.13694135181697,0.0,1.210732956125317,3708.060536647806,1853176.1436872284,False,499.76965731054463,0,normal,128.1167624692149
35,128.83761782146723,128.83761782146723,128.85791396539145,0.0,1.217768635451996,3708.0608884317726,1887603.1736430968,False,509.05398547579114,0,priority,130.83761782146723
36,137.657912084203,137.657912084203,137.66903389369514,0.0,0.667308569529083,1812.0333654284764,1053336.1355638343,False,581.3006292600803,0,priority,139.657912084203
37,138.118181363727,138.118181363727,138.13474001903225,0.0,0.9935193183153616,4806.049675965915,2119699.6381007377,False,441.0482165219656,0,normal,141.118181363727
38,142.5066891762401,142.5066891762401,142.54900915579847,0.0,2.5391987735030663,7016.126959938675,3872411.0267454647,False,551.9300105110002,0,priority,144.5066891762401
39,145.86312220462708,145.86312220462708,145.87603339724808,0.0,0.774671557261038,1812.038733577863,949041.5470532369,False,523.7424175692747,0,priority,147.86312220462708
40,151.51779443219306,151.51779443219306,151.52674521091632,0.0,0.537046723394794,1016.0268523361698,552059.691742756,False,543.3514778407625,0,priority,153.51779443219306
41,153.29606229668644,153.29606229668644,153.31399056649872,0.0,1.0756961887369532,4806.053784809437,2500055.8816317385,False,520.1889103974868,0,priority,155.29606229668644
42,154.68596640303738,154.68596640303738,154.69708796589055,0.0,0.6672937711891151,1016.0333646885595,549111.4633102241,False,540.4462908346923,0,priority,156.68596640303738
43,157.10708784654912,157.10708784654912,157.11773893938303,0.0,0.6390655700350214,1016.0319532785018,546136.0675853777,False,537.5185945905757,0,normal,160.10708784654912
44,157.8895783133976,157.8895783133976,157.9314653597562,0.0,2.513222781516465,7016.125661139075,3771298.00484635,False,537.5185945905757,0,normal,160.8895783133976
45,160.09522459674764,160.09522459674764,160.1149629944022,0.0,1.1843038592731785,3708.0592151929636,2087993.3745942747,False,563.0960169242113,0,normal,163.09522459674764
46,160.40847424726982,160.40847424726982,160.4196892645061,0.0,0.6729010341768479,1016.0336450517088,572124.4985896052,False,563.0960169242113,0,normal,163.40847424726982
47,165.2717599367991,165.2717599367991,165.28672681872948,0.0,0.8980129158224983,3008.044900645791,1629889.7015500704,False,541.8435413647425,0,normal,168.2717599367991
48,171.98301667344123,171.98301667344123,172.00118470249944,0.0,1.0900817434933063,4806.054504087175,2713441.2212437885,False,547.1032293492748,0,normal,174.98301667344123
49,173.6024813577778,173.6024813577778,173.62024394424841,0.0,1.0657551882367184,4806.053287759411,2693554.8375957077,False,560.4504728351538,0,normal,176.6024813577778
50,182.8712168101475,183.8575856598053,183.8712168101475,0.9863688496577936,0.8178690205329479,3008.0408934510265,1719934.2870242677,False,571.7788912939424,1,normal,185.8712168101475
51,183.1852602334174,183.1852602334174,183.2009199678905,0.0,0.9395840683858914,4806.046979203419,2592380.1000311463,False,539.3996586485348,0,normal,186.1852602334174
52,184.0002254085339,184.0002254085339,184.0102216967563,0.0,0.5997772933439958,1016.0299888646672,538589.6575738562,False,530.0922841615013,0,normal,187.0002254085339
53,184.8664344988042,184.8664344988042,184.90864822791679,0.0,2.5328237467538166,7016.126641187338,3719194.597193358,False,530.0922841615013,0,normal,187.8664344988042
54,187.0904883363685,188.07489530425497,188.0904883363685,0.9844069678864571,0.9355819268125223,4806.04677909634,2900739.6914148964,False,603.5604364134612,1,normal,190.0904883363685
55,189.8129059452649,189.8129059452649,189.82990188031505,0.0,1.0197561030091005,4806.050987805151,2543812.965171166,False,529.2937947653539,0,normal,192.8129059452649
56,191.36995797220294,191.36995797220294,191.38364952528195,0.0,0.8214931847411115,3008.041074659237,1492601.8831004708,False,496.203956679534,0,normal,194.36995797220294
57,191.7315310748564,191.7315310748564,191.74877777712638,0.0,1.0348021361981434,4806.05174010681,2384781.889447558,False,496.203956679534,0,normal,194.7315310748564
58,197.5305149647796,197.5305149647796,197.57119486647397,0.0,2.4407941016621404,7016.122039705083,3688481.0445449175,False,525.715063630786,0,priority,199.5305149647796
59,198.97016746882886,199.92905222097224,199.97016746882886,0.9588847521433763,2.4669148713980484,7016.12334574357,3869714.2894010134,False,530.3258263629426,1,normal,201.97016746882886
